[[17, 1, 14], 
[17, 5, 14], 
[17, 10, 14], 
[17, 8, 14], 
[17, 13, 14], 
[17, 15, 14], 
[17, 20, 14], 
[17, 25, 14], 
[17, 36, 14], 
[17, 29, 14], 
[17, 44, 14], 
[17, 40, 14], 
[17, 46, 14], 
[18, 6, 9], 
[18, 17, 9], 
[18, 23, 9], 
[18, 38, 9], 
[22, 14, 9], 
[22, 27, 9], 
[22, 20, 9], 
[22, 33, 9], 
[22, 4, 9], 
[22, 11, 9], 
[16, 2, 17], 
[16, 5, 16], 
[16, 23, 17], 
[16, 31, 16], 
[16, 41, 15], 
[19, 9, 15], 
[19, 20, 15], 
[19, 25, 14], 
[19, 40, 16], 
[19, 35, 15], 
[19, 14, 16], 
[22, 46, 9], 
[43, 31, 15], 
[44, 21, 15], 
[44, 4, 14], 
[44, 47, 15], 
[19, 51, 14], 
[16, 49, 17], 
[16, 45, 17]]

---------------------------------------
